User	Query	Type	Wrong submissions	Time to correct	Score	System
5	LSC20-55-3	Object	0	37.039	89.71	B
5	LSC20-59-4	Date	0	49.186	86.34	B
5	LSC22-114-2	Frequency	1	144.016	50	B
5	LSC20-70-2	Duration	1	119.965	46.68	B
5	LSC20-60-5	Date	1	44.121	77.74	A
5	LSC20-49-5	Color	0	63.975	82.23	A
5	LSC20-58-4	Location	0	54.688	84.81	A
5	LSC22-109-2	Frequency	0	42.057	88.32	A
5	Random-2	OCR	2	162.6	34.83	A
5	LSC22-108-7	Counting	1	118.656	57.04	A
5	LSC20-71-1	Object	0	25.891	92.81	A
5	LSC20-70-2	Duration	0	56.798	84.22	A
6	LSC20-56-1	Color	0	41.854	88.37	B
6	LSC22-111-4	Location	0	52.042	85.54	B
6	LSC21-75-4	Duration	1	77.201	68.56	B
6	LSC21-79-1	Date	0	24.979	93.06	B
6	LSC20-67-6	Object	0	137.914	61.69	B
6	LSC20-71-3	Counting	0	76.112	78.86	B
6	LSC20-66-3	Frequency	0	158.913	55.86	B
6	LSC22-QA2-1	OCR	0	37.302	89.64	B
6	LSC23-QA1-1	Color	0	20.913	94.19	A
6	LSC23-QA5-1	OCR	0	158.87	55.87	A
6	LSC20-58-5	Object	0	111.897	68.92	A
6	LSC20-60-3	Duration	1	113.924	58.35	A
6	LSC21-82-2	Frequency	0	60.281	83.26	A
6	LSC21-85-1	Date	0	53.127	85.24	A
6	LSC21-81-1	Location	0	118.574	67.06	A
6	LSC20-69-4	Counting	0	50.11	86.08	A
7	LSC20-57-1	Date	0	22.446	93.77	B
7	LSC20-56-2	Location	0	30.657	91.48	B
7	LSC20-60-2	Object	1	50.496	75.97	B
7	LSC20-62-2	Duration	0	79.231	77.99	B
7	LSC22-120-4	Color	0	29.087	91.92	B
7	LSC20-66-4	Counting	0	97.144	73.02	B
7	LSC20-67-3	Frequency	0	121.186	66.34	B
7	LSC22-111-5	OCR	0	24.498	93.2	B
7	LSC22-108-3	Date	0	70.022	80.55	A
7	LSC20-59-2	Counting	0	88.352	75.46	A
7	LSC20-54-3	Color	0	27.043	92.49	A
7	LSC23-QA10-1	Frequency	1	null	0	A
7	LSC21-78-2	OCR	0	112.546	68.74	A
7	LSC22-117-2	Location	1	65.955	71.68	A
7	LSC22-112-2	Object	0	69.585	80.67	A
7	LSC21-80-3	Duration	0	119.678	66.76	A
8	LSC22-109-3	Counting	0	63.822	82.27	B
8	LSC20-49-4	Object	0	38.798	89.22	B
8	LSC21-86-1	Location	0	55.196	84.67	B
8	LSC20-57-1	Date	0	56.075	84.42	B
8	LSC20-50-3	Duration	1	null	0	B
8	LSC20-61-3	Color	0	68.56	80.96	B
8	LSC23-QA8-1	OCR	1	144.113	49.97	B
8	Random-1	Frequency	1	124.16	55.51	B
8	LSC21-82-3	Location	0	null	0	A
8	LSC20-53-2	OCR	0	null	0	A
8	LSC22-121-2	Duration	0	147.193	59.11	A
8	LSC20-71-4	Color	0	46.523	87.08	A
8	LSC22-118-2	Date	3	115.997	37.78	A
8	LSC20-54-2	Object	1	89.398	65.17	A
8	LSC22-114-2	Frequency	0	145.09	59.7	A
8	LSC21-79-4	Counting	0	44.471	87.65	A
9	LSC22-119-4	Color	0	null	0	A
9	LSC22-QA7-1	Object	0	69.643	80.65	A
9	LSC20-56-3	Duration	0	47.785	86.73	A
9	LSC20-69-1	Frequency	0	99.792	72.28	A
9	LSC20-59-2	Counting	0	120.012	66.66	A
9	LSC21-79-3	Location	0	55.95	84.46	A
9	LSC20-72-2	OCR	0	33.138	90.79	A
9	LSC20-66-1	Date	0	33.045	90.82	A
9	LSC21-83-1	Color	0	81.55	77.35	B
9	LSC22-QA8-1	OCR	0	61.633	82.88	B
9	LSC22-111-1	Object	0	108.348	69.9	B
9	LSC22-121-1	Location	1	95.685	63.42	B
9	LSC22-109-3	Counting	0	70.648	80.38	B
9	LSC20-70-2	Duration	0	96.159	73.29	B
9	LSC22-108-5	Frequency	1	null	0	B
9	LSC20-57-1	Date	1	40.624	78.72	B
10	LSC23-QA8-1	OCR	0	79.439	77.93	B
10	LSC21-78-4	Location	0	43.235	87.99	B
10	LSC22-109-3	Counting	0	65.363	81.84	B
10	LSC20-52-2	Color	0	41.24	88.54	B
10	LSC22-121-3	Object	0	145.784	59.5	B
10	LSC21-77-2	Date	4	178.998	10.28	B
10	LSC23-QA10-1	Frequency	0	112.068	68.87	B
10	LSC20-60-3	Duration	1	125.649	55.1	B
10	LSC21-81-3	Date	0	26.145	92.74	A
10	LSC23-QA1-1	Color	0	72.877	79.76	A
10	LSC20-59-2	Counting	0	151.306	57.97	A
10	LSC21-75-1	OCR	0	49.256	86.32	A
10	LSC22-119-2	Duration	0	61.836	82.82	A
10	LSC20-71-2	Location	0	80.945	77.52	A
10	LSC22-110-4	Object	1	139.751	51.18	A
10	LSC20-63-4	Frequency	1	98.007	62.78	A
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
