team,task,correct,incorrect,norm_score,top_3,precision,recall,time_correct_LSC23-KIS01,time_correct_LSC23-AD01,time_correct_LSC23-QA01,time_correct_LSC23-KIS02,time_correct_LSC23-AD02,time_correct_LSC23-QA02,time_correct_LSC23-KIS03,time_correct_LSC23-AD03,time_correct_LSC23-QA03,time_correct_LSC23-KIS04,time_correct_LSC23-AD04,time_correct_LSC23-QA04,time_correct_LSC23-KIS05,time_correct_LSC23-AD05,time_correct_LSC23-KIS06,time_correct_LSC23-AD06,time_correct_LSC23-QA06,time_correct_full_LSC23-KIS01,time_correct_full_LSC23-AD01,time_correct_full_LSC23-QA01,time_correct_full_LSC23-KIS02,time_correct_full_LSC23-AD02,time_correct_full_LSC23-QA02,time_correct_full_LSC23-KIS03,time_correct_full_LSC23-AD03,time_correct_full_LSC23-QA03,time_correct_full_LSC23-KIS04,time_correct_full_LSC23-AD04,time_correct_full_LSC23-QA04,time_correct_full_LSC23-KIS05,time_correct_full_LSC23-AD05,time_correct_full_LSC23-QA05,time_correct_full_LSC23-KIS06,time_correct_full_LSC23-AD06,time_correct_full_LSC23-QA06
Memoria,KIS,6,0,90,0.0,1.0,1.0,57.234,75.79,60.966,53.952,,,85.937,,171.977,178.698,37.093,117.254,186.494,27.15,27.372,31.861,108.318,57.234,75.79,60.966,53.952,180.0,180.0,85.937,180.0,171.977,178.698,37.093,117.254,186.494,27.15,180,27.372,31.861,108.318
Voxento,KIS,4,3,61,0.0,0.5714285714285714,0.6666666666666666,23.22,40.738,45.373,21.65,,180.0,,23.823,174.518,,26.292,105.172,238.01,19.91,63.993,19.042,,23.22,40.738,45.373,21.65,180.0,180.0,300.0,23.823,174.518,300.0,26.292,105.172,238.01,19.91,180,63.993,19.042,180.0
Memoria-MEO4J,KIS,6,2,94,1.0,0.75,1.0,52.046,94.709,42.521,49.783,163.003,,64.32,,180.0,103.875,17.586,45.455,144.924,27.675,16.649,13.984,,52.046,94.709,42.521,49.783,163.003,180.0,64.32,180.0,180.0,103.875,17.586,45.455,144.924,27.675,180,16.649,13.984,180.0
MyEachtra,QA,5,1,100,4.0,0.8333333333333334,0.8333333333333334,21.617,17.561,25.868,21.468,23.681,34.569,265.493,14.475,124.15,13.526,15.203,61.674,75.256,11.984,14.927,25.854,50.671,21.617,17.561,25.868,21.468,23.681,34.569,265.493,14.475,124.15,13.526,15.203,61.674,75.256,11.984,180,14.927,25.854,50.671
Memento,QA,5,1,89,3.0,0.8333333333333334,0.8333333333333334,34.502,35.379,149.635,50.168,,104.946,,23.549,69.73,109.493,23.052,76.497,164.815,25.75,27.315,23.464,54.868,34.502,35.379,149.635,50.168,180.0,104.946,300.0,23.549,69.73,109.493,23.052,76.497,164.815,25.75,180,27.315,23.464,54.868
e-LifeSeeker,QA,6,3,83,2.0,0.6666666666666666,1.0,47.435,20.639,29.099,26.344,26.636,180.0,118.581,35.792,170.554,70.58,16.259,64.559,,21.906,30.386,17.193,59.532,47.435,20.639,29.099,26.344,26.636,180.0,118.581,35.792,170.554,70.58,16.259,64.559,300.0,21.906,180,30.386,17.193,59.532
LifeInsight,QA,4,1,71,1.0,0.8,0.6666666666666666,26.266,51.345,56.67,20.342,39.398,,278.679,122.213,133.236,84.611,21.053,127.794,154.257,31.831,17.652,19.491,54.981,26.266,51.345,56.67,20.342,39.398,180.0,278.679,122.213,133.236,84.611,21.053,127.794,154.257,31.831,180,17.652,19.491,54.981
lifeXplore,QA,3,5,52,2.0,0.375,0.5,60.476,26.157,42.363,18.047,19.911,,186.373,19.123,54.21,15.406,32.673,180.0,82.628,18.604,15.197,38.321,,60.476,26.157,42.363,18.047,19.911,180.0,186.373,19.123,54.21,15.406,32.673,180.0,82.628,18.604,180,15.197,38.321,180.0
E-Myscéal,QA,4,7,72,1.0,0.36363636363636365,0.6666666666666666,20.219,17.21,50.278,26.684,15.627,,146.216,16.266,173.625,14.134,20.193,62.369,17.949,14.501,18.477,16.717,73.132,20.219,17.21,50.278,26.684,15.627,180.0,146.216,16.266,173.625,14.134,20.193,62.369,17.949,14.501,180,18.477,16.717,73.132
MemoriEase,QA,5,4,91,2.0,0.5555555555555556,0.8333333333333334,24.126,22.469,65.582,15.914,20.866,86.43,,55.009,47.923,35.221,12.976,174.81,,16.377,16.58,15.885,62.157,24.126,22.469,65.582,15.914,20.866,86.43,300.0,55.009,47.923,35.221,12.976,174.81,300.0,16.377,180,16.58,15.885,62.157
First,QA,4,3,61,1.0,0.5714285714285714,0.6666666666666666,38.644,44.652,54.095,28.381,90.377,,67.383,46.215,180.0,132.462,37.093,64.303,,48.17,21.776,51.841,,38.644,44.652,54.095,28.381,90.377,180.0,67.383,46.215,180.0,132.462,37.093,64.303,300.0,48.17,180,21.776,51.841,180.0
LifeGraph,QA,4,3,62,0.0,0.5714285714285714,0.6666666666666666,55.264,39.344,76.046,67.925,,180.0,65.104,37.707,115.543,83.535,30.259,71.768,,40.74,34.874,23.178,,55.264,39.344,76.046,67.925,180.0,180.0,65.104,37.707,115.543,83.535,30.259,71.768,300.0,40.74,180,34.874,23.178,180.0
LifeLens,QA,4,0,46,0.0,1.0,0.6666666666666666,31.681,18.16,58.155,91.314,23.017,180.0,218.647,29.694,180.0,145.228,35.397,180.0,,25.514,25.453,29.656,,31.681,18.16,58.155,91.314,23.017,180.0,218.647,29.694,180.0,145.228,35.397,180.0,300.0,25.514,180,25.453,29.656,180.0
Vitrivr-Hybrid,QA,4,5,59,0.0,0.4444444444444444,0.6666666666666666,22.187,21.367,60.232,53.218,,,,31.473,139.344,147.74,17.589,74.667,,20.071,19.626,25.404,180.0,22.187,21.367,60.232,53.218,180.0,180.0,300.0,31.473,139.344,147.74,17.589,74.667,300.0,20.071,180,19.626,25.404,180.0
Memoria,QA,4,4,65,0.0,0.5,0.6666666666666666,57.234,75.79,60.966,53.952,,,85.937,,171.977,178.698,37.093,117.254,186.494,27.15,27.372,31.861,108.318,57.234,75.79,60.966,53.952,180.0,180.0,85.937,180.0,171.977,178.698,37.093,117.254,186.494,27.15,180,27.372,31.861,108.318
Voxento,QA,4,3,55,0.0,0.5714285714285714,0.6666666666666666,23.22,40.738,45.373,21.65,,180.0,,23.823,174.518,,26.292,105.172,238.01,19.91,63.993,19.042,,23.22,40.738,45.373,21.65,180.0,180.0,300.0,23.823,174.518,300.0,26.292,105.172,238.01,19.91,180,63.993,19.042,180.0
Memoria-MEO4J,QA,3,2,53,1.0,0.6,0.5,52.046,94.709,42.521,49.783,163.003,,64.32,,180.0,103.875,17.586,45.455,144.924,27.675,16.649,13.984,,52.046,94.709,42.521,49.783,163.003,180.0,64.32,180.0,180.0,103.875,17.586,45.455,144.924,27.675,180,16.649,13.984,180.0
MyEachtra,AD,177,22,96,,0.8376641927868195,0.3083646652308479,21.617,17.561,25.868,21.468,23.681,34.569,265.493,14.475,124.15,13.526,15.203,61.674,75.256,11.984,14.927,25.854,50.671,21.617,17.561,25.868,21.468,23.681,34.569,265.493,14.475,124.15,13.526,15.203,61.674,75.256,11.984,180,14.927,25.854,50.671
Memento,AD,253,42,96,,0.6923202331027932,0.33182932387824726,34.502,35.379,149.635,50.168,,104.946,,23.549,69.73,109.493,23.052,76.497,164.815,25.75,27.315,23.464,54.868,34.502,35.379,149.635,50.168,180.0,104.946,300.0,23.549,69.73,109.493,23.052,76.497,164.815,25.75,180,27.315,23.464,54.868
e-LifeSeeker,AD,161,38,92,,0.7371497584541062,0.3522581665020407,47.435,20.639,29.099,26.344,26.636,180.0,118.581,35.792,170.554,70.58,16.259,64.559,,21.906,30.386,17.193,59.532,47.435,20.639,29.099,26.344,26.636,180.0,118.581,35.792,170.554,70.58,16.259,64.559,300.0,21.906,180,30.386,17.193,59.532
LifeInsight,AD,217,54,88,,0.6990129808985741,0.3403117163677349,26.266,51.345,56.67,20.342,39.398,,278.679,122.213,133.236,84.611,21.053,127.794,154.257,31.831,17.652,19.491,54.981,26.266,51.345,56.67,20.342,39.398,180.0,278.679,122.213,133.236,84.611,21.053,127.794,154.257,31.831,180,17.652,19.491,54.981
lifeXplore,AD,226,29,100,,0.8397217045359863,0.31508691481466006,60.476,26.157,42.363,18.047,19.911,,186.373,19.123,54.21,15.406,32.673,180.0,82.628,18.604,15.197,38.321,,60.476,26.157,42.363,18.047,19.911,180.0,186.373,19.123,54.21,15.406,32.673,180.0,82.628,18.604,180,15.197,38.321,180.0
E-Myscéal,AD,240,35,74,,0.7803971890178788,0.2537953600695949,20.219,17.21,50.278,26.684,15.627,,146.216,16.266,173.625,14.134,20.193,62.369,17.949,14.501,18.477,16.717,73.132,20.219,17.21,50.278,26.684,15.627,180.0,146.216,16.266,173.625,14.134,20.193,62.369,17.949,14.501,180,18.477,16.717,73.132
MemoriEase,AD,138,35,66,,0.7469848991588122,0.23684374000354533,24.126,22.469,65.582,15.914,20.866,86.43,,55.009,47.923,35.221,12.976,174.81,,16.377,16.58,15.885,62.157,24.126,22.469,65.582,15.914,20.866,86.43,300.0,55.009,47.923,35.221,12.976,174.81,300.0,16.377,180,16.58,15.885,62.157
First,AD,72,32,60,,0.7318922305764411,0.20576063850958667,38.644,44.652,54.095,28.381,90.377,,67.383,46.215,180.0,132.462,37.093,64.303,,48.17,21.776,51.841,,38.644,44.652,54.095,28.381,90.377,180.0,67.383,46.215,180.0,132.462,37.093,64.303,300.0,48.17,180,21.776,51.841,180.0
LifeGraph,AD,164,16,58,,0.6461934453592694,0.1953442330082046,55.264,39.344,76.046,67.925,,180.0,65.104,37.707,115.543,83.535,30.259,71.768,,40.74,34.874,23.178,,55.264,39.344,76.046,67.925,180.0,180.0,65.104,37.707,115.543,83.535,30.259,71.768,300.0,40.74,180,34.874,23.178,180.0
LifeLens,AD,136,22,76,,0.7697104866459705,0.2628231936519207,31.681,18.16,58.155,91.314,23.017,180.0,218.647,29.694,180.0,145.228,35.397,180.0,,25.514,25.453,29.656,,31.681,18.16,58.155,91.314,23.017,180.0,218.647,29.694,180.0,145.228,35.397,180.0,300.0,25.514,180,25.453,29.656,180.0
Vitrivr-Hybrid,AD,159,31,70,,0.752703505644682,0.2201131347179528,22.187,21.367,60.232,53.218,,,,31.473,139.344,147.74,17.589,74.667,,20.071,19.626,25.404,180.0,22.187,21.367,60.232,53.218,180.0,180.0,300.0,31.473,139.344,147.74,17.589,74.667,300.0,20.071,180,19.626,25.404,180.0
Memoria,AD,150,7,31,,0.6547946170647502,0.09419853339496932,57.234,75.79,60.966,53.952,,,85.937,,171.977,178.698,37.093,117.254,186.494,27.15,27.372,31.861,108.318,57.234,75.79,60.966,53.952,180.0,180.0,85.937,180.0,171.977,178.698,37.093,117.254,186.494,27.15,180,27.372,31.861,108.318
Voxento,AD,140,43,52,,0.7308189226793878,0.1734028549864702,23.22,40.738,45.373,21.65,,180.0,,23.823,174.518,,26.292,105.172,238.01,19.91,63.993,19.042,,23.22,40.738,45.373,21.65,180.0,180.0,300.0,23.823,174.518,300.0,26.292,105.172,238.01,19.91,180,63.993,19.042,180.0
Memoria-MEO4J,AD,109,33,15,,0.39979147937269005,0.05946791172020114,52.046,94.709,42.521,49.783,163.003,,64.32,,180.0,103.875,17.586,45.455,144.924,27.675,16.649,13.984,,52.046,94.709,42.521,49.783,163.003,180.0,64.32,180.0,180.0,103.875,17.586,45.455,144.924,27.675,180,16.649,13.984,180.0
