team,task,correct,incorrect,norm_score,top_3,precision,recall,time_correct_LSC22-KIS01,time_correct_LSC22-QA01,time_correct_LSC22-AH01,time_correct_LSC22-KIS02,time_correct_LSC22-QA02,time_correct_LSC22-AH02,time_correct_LSC22-KIS03,time_correct_LSC22-QA03,time_correct_LSC22-KIS04,time_correct_LSC22-AD03,time_correct_LSC22-QA04,time_correct_LSC22-KIS05,time_correct_LSC22-QA05,time_correct_LSC22-QA06,time_correct_LSC22-KIS06,time_correct_LSC22-AD06,time_correct_LSC22-KIS09,time_correct_LSC22-AD09,time_correct_LSC220KIS10,time_correct_LSC22-QA08,time_correct_LSC22-AD10,time_correct_LSC22-KIS11,time_correct_LSC22-KIS08,time_correct_LSC22-QA12,time_correct_LSC22-QA09,time_correct_full_LSC22-KIS01,time_correct_full_LSC22-QA01,time_correct_full_LSC22-AH01,time_correct_full_LSC22-KIS02,time_correct_full_LSC22-QA02,time_correct_full_LSC22-AH02,time_correct_full_LSC22-KIS03,time_correct_full_LSC22-QA03,time_correct_full_LSC22-KIS04,time_correct_full_LSC22-AD03,time_correct_full_LSC22-QA04,time_correct_full_LSC22-KIS05,time_correct_full_LSC22-QA05,time_correct_full_LSC22-QA06,time_correct_full_LSC22-KIS06,time_correct_full_LSC22-AD06,time_correct_full_LSC22-KIS09,time_correct_full_LSC22-AD09,time_correct_full_LSC220KIS10,time_correct_full_LSC22-QA08,time_correct_full_LSC22-AD10,time_correct_full_LSC22-KIS11,time_correct_full_LSC22-KIS08,time_correct_full_LSC22-QA12,time_correct_full_LSC22-QA09
LifeSeeker,AD,667,346,100,,0.7000148289320506,0.5360952629058975,19.423,180.0,24.762,217.692,56.399,20.893,44.219,33.148,155.84,44.245,131.735,295.931,65.966,119.644,121.935,48.529,12.72,31.923,200.476,50.873,44.747,235.281,39.583,23.137,17.512,19.423,180.0,24.762,217.692,56.399,20.893,44.219,33.148,155.84,44.245,131.735,295.931,65.966,119.644,121.935,48.529,12.72,31.923,200.476,50.873,44.747,235.281,39.583,23.137,17.512
MEMENTO,AD,304,75,67,,0.7326686204553177,0.31729574632618235,40.898,140.904,18.039,245.82,27.944,24.46,19.101,39.503,25.571,40.072,,86.84,,90.736,61.3,23.653,18.545,25.753,163.107,33.334,30.39,173.827,257.049,26.865,23.843,40.898,140.904,18.039,245.82,27.944,24.46,19.101,39.503,25.571,40.072,180.0,86.84,180.0,90.736,61.3,23.653,18.545,25.753,163.107,33.334,30.39,173.827,257.049,26.865,23.843
FIRST,AD,386,318,48,,0.7578226036063923,0.2515765723859961,57.28,,40.519,220.968,34.12,53.338,47.433,70.667,100.695,43.782,89.308,158.309,,125.713,103.792,28.501,23.995,31.928,271.508,43.458,25.163,113.801,125.585,48.298,35.148,57.28,180.0,40.519,220.968,34.12,53.338,47.433,70.667,100.695,43.782,89.308,158.309,180.0,125.713,103.792,28.501,23.995,31.928,271.508,43.458,25.163,113.801,125.585,48.298,35.148
Voxento,AD,214,22,52,,0.9293717486994798,0.2237502653577307,57.784,,39.681,128.131,27.242,27.416,31.022,88.497,24.653,20.732,,208.497,,,92.879,30.666,18.488,29.616,,20.645,21.636,173.708,74.256,19.681,22.18,57.784,180.0,39.681,128.131,27.242,27.416,31.022,88.497,24.653,20.732,180.0,208.497,180.0,180.0,92.879,30.666,18.488,29.616,300.0,20.645,21.636,173.708,74.256,19.681,22.18
vitrivr,AD,241,74,56,,0.8329543977789591,0.25716582490163337,,,17.966,,36.188,39.278,189.963,169.198,236.351,39.011,,142.519,60.241,47.134,,45.163,73.747,93.94,175.513,42.115,56.626,127.957,88.225,63.181,53.796,300.0,180.0,17.966,300.0,36.188,39.278,189.963,169.198,236.351,39.011,180.0,142.519,60.241,47.134,300.0,45.163,73.747,93.94,175.513,42.115,56.626,127.957,88.225,63.181,53.796
lifeXplore,AD,312,191,41,,0.6600630444716467,0.203702796311902,,,81.279,212.026,26.712,22.335,74.999,,134.904,,91.092,176.563,58.364,,134.899,54.969,13.779,77.595,,170.718,21.328,,90.181,32.717,88.461,300.0,180.0,81.279,212.026,26.712,22.335,74.999,180.0,134.904,180.0,91.092,176.563,58.364,180.0,134.899,54.969,13.779,77.595,300.0,170.718,21.328,300.0,90.181,32.717,88.461
vitrivr-VR,AD,144,149,25,,0.6208249892334194,0.12429815662957333,,,21.118,287.169,25.728,48.143,,174.178,152.759,23.429,,100.66,156.392,70.134,,,21.478,27.839,,142.485,32.354,95.31,178.212,52.446,24.088,300.0,180.0,21.118,287.169,25.728,48.143,300.0,174.178,152.759,23.429,180.0,100.66,156.392,70.134,300.0,180.0,21.478,27.839,300.0,142.485,32.354,95.31,178.212,52.446,24.088
MEMORIA,AD,69,7,14,,0.743611111111111,0.05932630477346623,,,98.103,,103.226,97.312,,88.099,,,123.586,93.739,,141.994,,156.215,,148.086,,98.216,118.112,,,126.884,,300.0,180.0,98.103,300.0,103.226,97.312,300.0,88.099,300.0,180.0,123.586,93.739,180.0,141.994,300.0,156.215,300.0,148.086,300.0,98.216,118.112,300.0,300.0,126.884,180.0
MyScéal,KIS-QA,9,0,100,7.0,1.0,1.0,37.966,180.0,17.912,205.447,33.195,32.184,18.252,22.474,30.361,28.574,114.193,113.268,63.739,87.046,119.747,58.796,27.993,16.76,178.79,30.487,12.42,71.198,84.975,30.78,12.883,37.966,180.0,17.912,205.447,33.195,32.184,18.252,22.474,30.361,28.574,114.193,113.268,63.739,87.046,119.747,58.796,27.993,16.76,178.79,30.487,12.42,71.198,84.975,30.78,12.883
LifeSeeker,KIS-QA,9,0,96,4.0,1.0,1.0,19.423,180.0,24.762,217.692,56.399,20.893,44.219,33.148,155.84,44.245,131.735,295.931,65.966,119.644,121.935,48.529,12.72,31.923,200.476,50.873,44.747,235.281,39.583,23.137,17.512,19.423,180.0,24.762,217.692,56.399,20.893,44.219,33.148,155.84,44.245,131.735,295.931,65.966,119.644,121.935,48.529,12.72,31.923,200.476,50.873,44.747,235.281,39.583,23.137,17.512
MEMENTO,KIS-QA,7,2,80,4.0,0.7777777777777778,0.7777777777777778,40.898,140.904,18.039,245.82,27.944,24.46,19.101,39.503,25.571,40.072,,86.84,,90.736,61.3,23.653,18.545,25.753,163.107,33.334,30.39,173.827,257.049,26.865,23.843,40.898,140.904,18.039,245.82,27.944,24.46,19.101,39.503,25.571,40.072,180.0,86.84,180.0,90.736,61.3,23.653,18.545,25.753,163.107,33.334,30.39,173.827,257.049,26.865,23.843
FIRST,KIS-QA,7,1,78,1.0,0.875,0.7777777777777778,57.28,,40.519,220.968,34.12,53.338,47.433,70.667,100.695,43.782,89.308,158.309,,125.713,103.792,28.501,23.995,31.928,271.508,43.458,25.163,113.801,125.585,48.298,35.148,57.28,180.0,40.519,220.968,34.12,53.338,47.433,70.667,100.695,43.782,89.308,158.309,180.0,125.713,103.792,28.501,23.995,31.928,271.508,43.458,25.163,113.801,125.585,48.298,35.148
Voxento,KIS-QA,5,3,61,4.0,0.625,0.5555555555555556,57.784,,39.681,128.131,27.242,27.416,31.022,88.497,24.653,20.732,,208.497,,,92.879,30.666,18.488,29.616,,20.645,21.636,173.708,74.256,19.681,22.18,57.784,180.0,39.681,128.131,27.242,27.416,31.022,88.497,24.653,20.732,180.0,208.497,180.0,180.0,92.879,30.666,18.488,29.616,300.0,20.645,21.636,173.708,74.256,19.681,22.18
vitrivr,KIS-QA,7,0,77,2.0,1.0,0.7777777777777778,,,17.966,,36.188,39.278,189.963,169.198,236.351,39.011,,142.519,60.241,47.134,,45.163,73.747,93.94,175.513,42.115,56.626,127.957,88.225,63.181,53.796,300.0,180.0,17.966,300.0,36.188,39.278,189.963,169.198,236.351,39.011,180.0,142.519,60.241,47.134,300.0,45.163,73.747,93.94,175.513,42.115,56.626,127.957,88.225,63.181,53.796
lifeXplore,KIS-QA,6,2,64,3.0,0.75,0.6666666666666666,,,81.279,212.026,26.712,22.335,74.999,,134.904,,91.092,176.563,58.364,,134.899,54.969,13.779,77.595,,170.718,21.328,,90.181,32.717,88.461,300.0,180.0,81.279,212.026,26.712,22.335,74.999,180.0,134.904,180.0,91.092,176.563,58.364,180.0,134.899,54.969,13.779,77.595,300.0,170.718,21.328,300.0,90.181,32.717,88.461
vitrivr-VR,KIS-QA,7,1,70,2.0,0.875,0.7777777777777778,,,21.118,287.169,25.728,48.143,,174.178,152.759,23.429,,100.66,156.392,70.134,,,21.478,27.839,,142.485,32.354,95.31,178.212,52.446,24.088,300.0,180.0,21.118,287.169,25.728,48.143,300.0,174.178,152.759,23.429,180.0,100.66,156.392,70.134,300.0,180.0,21.478,27.839,300.0,142.485,32.354,95.31,178.212,52.446,24.088
MEMORIA,KIS-QA,6,2,56,0.0,0.75,0.6666666666666666,,,98.103,,103.226,97.312,,88.099,,,123.586,93.739,,141.994,,156.215,,148.086,,98.216,118.112,,,126.884,,300.0,180.0,98.103,300.0,103.226,97.312,300.0,88.099,300.0,180.0,123.586,93.739,180.0,141.994,300.0,156.215,300.0,148.086,300.0,98.216,118.112,300.0,300.0,126.884,180.0
